date_day,item_category,orders,customers,customers_whose_first_order_included_category,customers_with_repeat_orders_including_category,units_sold,promo_units_sold,order_item_rows_revenue_eur,order_item_rows_discount_eur,weighted_avg_selling_price_eur,avg_order_units_for_orders_with_category,avg_delivery_distance_meters
2022-12-25,Chocolate,19,18,18,1,32,0,58.70999999999999,0.0,1.8346874999999996,2.1578947368421053,3867.210526315789
2022-12-25,Chocolate & Sweet Spreads,2,2,2,0,2,0,7.18,0.0,3.59,1.0,8335.0
2022-12-25,Cookies,4,4,4,0,4,0,8.48,0.0,2.12,1.0,3026.25
2022-12-25,Other Confectionary,51,47,47,4,88,0,295.68000000000035,0.0,3.360000000000004,1.9215686274509804,3865.901960784314
2022-12-26,Chocolate,13,12,12,1,18,0,38.660000000000004,0.0,2.147777777777778,2.076923076923077,3745.3846153846152
2022-12-26,Chocolate & Sweet Spreads,2,1,1,1,2,2,6.821,0.359,3.4105,4.0,7220.0
2022-12-26,Cookies,3,3,3,0,3,0,6.4,0.0,2.1333333333333333,1.3333333333333333,5036.333333333333
2022-12-26,Other Confectionary,48,43,42,4,66,0,221.76000000000028,0.0,3.3600000000000043,1.6249999999999998,3627.5208333333335
2022-12-27,Chocolate,18,18,15,3,23,0,55.00999999999999,0.0,2.3917391304347824,2.3888888888888893,3552.1111111111113
2022-12-27,Chocolate & Sweet Spreads,6,6,5,1,8,2,32.580999999999996,0.359,4.0726249999999995,2.6666666666666665,4761.666666666667
2022-12-27,Cookies,6,6,4,2,6,0,11.84,0.0,1.9733333333333334,1.5,3611.1666666666665
2022-12-27,Other Confectionary,47,45,37,10,79,0,264.4800000000002,0.0,3.347848101265825,1.9787234042553192,4148.531914893616
2022-12-28,Chocolate,19,17,13,5,27,0,55.629999999999995,0.0,2.06037037037037,1.9473684210526314,3148.7368421052633
2022-12-28,Chocolate & Sweet Spreads,2,2,2,0,2,1,8.340499999999999,0.1795,4.170249999999999,1.0,6135.0
2022-12-28,Cookies,3,3,2,1,3,0,6.630000000000001,0.0,2.2100000000000004,2.333333333333333,1469.6666666666667
2022-12-28,Other Confectionary,44,40,33,9,64,0,215.04000000000028,0.0,3.3600000000000043,1.6363636363636362,3370.2045454545455
2022-12-28,"Toffee, Fudge & Nougat",1,1,0,1,1,1,3.002,0.15800000000000003,3.002,1.0,1227.0
2022-12-29,"Cheese Crackers, Breadsticks & Dipping",9,9,4,5,10,0,26.4,0.0,2.6399999999999997,1.4444444444444444,2999.1111111111113
2022-12-29,Chocolate,17,15,11,5,19,0,39.46999999999999,0.0,2.0773684210526313,2.0,3840.4117647058824
2022-12-29,Chocolate & Sweet Spreads,1,1,1,0,1,1,3.4105,0.1795,3.4105,1.0,1016.0
2022-12-29,Cookies,5,5,4,1,9,0,17.990000000000002,0.0,1.9988888888888892,1.8,2457.6
2022-12-29,Crisp & Snacks,36,35,17,18,43,0,93.36,0.0,2.1711627906976743,1.277777777777778,3537.722222222222
2022-12-29,Other Confectionary,44,39,32,10,73,0,245.28000000000011,0.0,3.3600000000000017,1.8181818181818183,3640.1590909090896
2022-12-30,"Cheese Crackers, Breadsticks & Dipping",20,20,11,9,22,0,58.79000000000002,0.0,2.6722727272727282,2.4499999999999993,3631.45
2022-12-30,Chocolate,23,23,13,10,36,0,77.77,0.0,2.1602777777777775,2.1739130434782603,3760.0434782608695
2022-12-30,Chocolate & Sweet Spreads,3,3,3,0,3,2,8.190999999999999,0.359,2.730333333333333,1.0,4192.0
2022-12-30,Cookies,14,14,8,6,16,0,32.290000000000006,0.0,2.0181250000000004,1.3571428571428572,3369.9285714285716
2022-12-30,Crisp & Snacks,80,75,44,32,109,0,276.3500000000003,0.0,2.535321100917434,1.6250000000000002,3691.35
2022-12-30,Other Confectionary,55,49,36,16,83,0,278.88000000000005,0.0,3.3600000000000008,1.8545454545454547,3507.618181818183
2022-12-30,"Toffee, Fudge & Nougat",3,3,3,0,3,1,7.102,0.15800000000000003,2.3673333333333333,3.0,5173.0
2022-12-31,"Cheese Crackers, Breadsticks & Dipping",17,17,10,7,19,0,51.640000000000015,0.0,2.7178947368421063,2.0588235294117645,4757.941176470589
2022-12-31,Chocolate,17,16,11,5,24,0,55.24000000000001,0.0,2.301666666666667,1.8823529411764703,3377.0
2022-12-31,Chocolate & Sweet Spreads,2,2,2,0,2,0,9.86,0.0,4.93,1.0,7535.0
2022-12-31,Cookies,8,8,5,3,9,0,17.7,0.0,1.9666666666666666,2.125,4027.5
2022-12-31,Crisp & Snacks,68,67,39,29,90,0,222.93000000000012,0.0,2.477000000000001,1.4852941176470587,4036.5441176470595
2022-12-31,Other Confectionary,53,47,34,17,103,0,344.4800000000001,0.0,3.3444660194174767,2.1886792452830193,3954.88679245283
2022-12-31,"Toffee, Fudge & Nougat",2,2,1,1,2,0,3.72,0.0,1.86,5.5,4960.0
2023-01-01,"Cheese Crackers, Breadsticks & Dipping",21,20,9,11,22,0,59.800000000000026,0.0,2.718181818181819,2.0476190476190474,4273.142857142858
2023-01-01,Chocolate,23,21,11,11,29,0,62.55,0.0,2.1568965517241376,1.826086956521739,5066.826086956521
